3038	303A	04
303B	303B	20
303C	303C	10
303D	3040	00
3041	3096	10
3097	3098	00
3099	309A	01
309B	309C	00
309D	309E	20
309F	309F	10
30A0	30A0	00
30A1	30FA	10
30FB	30FB	00
30FC	30FE	20
30FF	30FF	10
3100	3104	00
3105	312F	10
3130	3130	00
3131	318E	10
318F	3191	00
3192	3195	08
3196	319F	00
31A0	31BF	10
31C0	31EF	00
31F0	31FF	10
3200	321F	00
3220	3229	08
322A	3247	00
3248	324F	08
3250	3250	00
3251	325F	08
3260	327F	00
3280	3289	08
328A	32B0	00
32B1	32BF	08
32C0	33FF	00
3400	4DBF	10
4DC0	4DFF	00
4E00	9FFC	10
9FFD	9FFF	00
A000	A014	10
A015	A015	20
A016	A48C	10
A48D	A4CF	00
A4D0	A4F7	10
A4F8	A4FD	20
A4FE	A4FF	00
A500	A60B	10
A60C	A60C	20
A60D	A60F	00
A610	A61F	10
A620	A629	02
A62A	A62B	10
A62C	A63F	00
A640	A66D	20
A66E	A66E	10
A66F	A66F	01
A670	A673	00
A674	A67D	01
A67E	A67E	00
A67F	A69D	20
A69E	A69F	01
A6A0	A6E5	10
A6E6	A6EF	04
A6F0	A6F1	01
A6F2	A716	00
A717	A71F	20
A720	A721	00
A722	A788	20
A789	A78A	00
A78B	A78E	20
A78F	A78F	10
A790	A7BF	20
A7C0	A7C1	00
A7C2	A7CA	20
A7CB	A7F4	00
A7F5	A7F6	20
A7F7	A7F7	10
A7F8	A7FA	20
A7FB	A801	10
A802	A802	01
A803	A805	10
A806	A806	01
A807	A80A	10
A80B	A80B	01
A80C	A822	10
A823	A824	00
A825	A826	01
A827	A82B	00
A82C	A82C	01
A82D	A82F	00
A830	A835	08
A836	A83F	00
A840	A873	10
A874	A881	00
A882	A8B3	10
A8B4	A8C3	00
A8C4	A8C5	01
A8C6	A8CF	00
A8D0	A8D9	02
A8DA	A8DF	00
A8E0	A8F1	01
A8F2	A8F7	10
A8F8	A8FA	00
A8FB	A8FB	10
A8FC	A8FC	00
A8FD	A8FE	10
A8FF	A8FF	01
A900	A909	02
A90A	A925	10
A926	A92D	01
A92E	A92F	00
A930	A946	10
A947	A951	01
A952	A95F	00
A960	A97C	10
A97D	A97F	00
A980	A982	01
A983	A983	00
A984	A9B2	10
A9B3	A9B3	01
A9B4	A9B5	00
A9B6	A9B9	01
A9BA	A9BB	00
A9BC	A9BD	01
A9BE	A9CE	00
A9CF	A9CF	20
A9D0	A9D9	02
A9DA	A9DF	00
A9E0	A9E4	10
A9E5	A9E5	01
A9E6	A9E6	20
A9E7	A9EF	10
A9F0	A9F9	02
A9FA	A9FE	10
A9FF	A9FF	00
AA00	AA28	10
AA29	AA2E	01
AA2F	AA30	00
AA31	AA32	01
AA33	AA34	00
AA35	AA36	01
AA37	AA3F	00
AA40	AA42	10
AA43	AA43	01
AA44	AA4B	10
AA4C	AA4C	01
AA4D	AA4F	00
AA50	AA59	02
AA5A	AA5F	00
AA60	AA6F	10
